chapter;subtitle;type;german
Design;;;
;Introduction;;
;;question;"What thoughts do you associate with the word ""purpose""?"
;;question;Does mankind have a purpose?
;;question;What purpose do you see for your own life?
;;bible;Jer 29,11
;;question;What is God's heart and purpose for humankind - for you?
;Humanity;;
;;question;How valuable are relationships for you and which are the most important? How would it be to be completly alone?
;;question;What are the essential emotional human needs?
;;question;How important is it for a person to be loved and accepted? What happens if those feeling are absent?
;;question;Do humans moral beings, do they have a consciousness, a sense of justice, creative capabilities and why?
;Humanity and God;;
;;bible;Genesis 1:26-27.31 (ESV)
;;question;What does the text state about God and about human beings?
;;question;We are made in the likeness of God: What conclusions can we draw from imperfect human trades of charater (his morals etc.) about the nature of God?
;;question;"Why do you think is God referring to himself as ""us"" in the text? "
;;question;What does this text indicate about the value, dignity and destiny of every human being?
;Connection between God and Man;;
;;bible;Matthew 22:37-40 (ESV)
;;question;What should characterize the relationship between human beings and God?
;;question;What would our society look like if we would put this commandment into practise?
;;question;What would our relationships look like?
;;question;What is God's intention with these commandments, and what can be concluded about His nature?
;;bible;Ephesians 1:5 (ESV)
;;question;What characterizes the relationship between a child and his/her parents?
;Core and Challenge;;
;;question;What is your take-home from this chapter?
;;question;What goals do you want to set for the upcoming weeks?
;Prayer Tags;;
;;impulsee;Purpose, Relationships (Family, Friends), Encounter with God
Saviour;;;
;Introduction;;
;;question;Have you ever been saved from danger? 
;;question;Is the world, we live in, fair? Why or why not? What's wrong? 
;God's Standard;;
;;question;In your opinion: What does God demand of us?
;;question;Do you think you are a good person, and why?
;;question;By which standard are you making this assesment?
;;question;Are you meeting your own standards?
;;bible;Matthew 15:19 (ESV)
;;question;Can you agree with this bible verse? Why or why not?
;;question;Do all thoughts turn into actions? Does that mean they're less evil?
;;question;What keeps us from putting evil thoughts into action?
;Seperation and Reconcilation;;
;;bible;Romans 6:23
;;question;What is sin?
;;question;"What does this bible verse mean by ""death?"" "
;;question;Would God be just if he wouldn't condemn sins? 
;;question;What are the consequences of sin in our lives, in society, in our relationships? (Theft, murder, lies, envy, hate, unforgiveness, jealousy...) 
;;question;How are you dealing with your guilt in your life? Why are you handling it that way? 
;;question;Is it possible to make amends? 
;;question;Where is this not possible, and why? What solution do you have for those instances? 
